id,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,total_modulos,modulos_iniciados,modulos_finalizados,certificados
532740924,SEM FORMAÇÃO,UFF,Engenheiro,Eletrodomesticos,1,1,1,2,Linkedin,54,5,2,0
754616550,SEM FORMAÇÃO,USP,Supervisor,e-commerce,0,0,1,10,Facebook,27,27,27,0
186720832,MBA,INSPER INSTITUTO DE ENSINO E PESQUISA,Coordenador,Siderurgica,1,1,1,6,Instagram,64,33,16,0
602776201,Bacharelado,UNIVERSIDADE NOVE DE JULHO,Gerente,Eletrodomesticos,1,1,1,9,Facebook,57,13,10,0
131586778,Licenciatura,UNIP,Advogado,Entretenimento,1,1,1,7,Instagram,115,112,111,3
411583107,Tecnólogo,UNICAMP,Diretor,Laminados,1,1,1,8,Minha empresa - benefício LITpass,22,3,3,0
727922528,Bacharelado,UNICAMP,Advogado,Oleo e Gas,1,1,1,3,Outros,21,15,11,0
696704742,Licenciatura,UEPB,SEM EXPERIÊNCIA,Entretenimento,1,1,1,7,Saint Paul,10,10,10,0
720994250,Bacharelado,UFRN,Gerente,Oleo e Gas,0,0,1,6,Google,37,10,7,0
770377469,Especialização,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Sócio/Dono/Proprietário,e-commerce,0,0,1,6,Minha empresa - benefício LITpass,33,10,7,0
294480011,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Advogado,Oleo e Gas,0,0,1,3,Outros,125,26,19,0
346013852,Especialização,UFSCar,Engenheiro,servicos,0,0,1,8,YouTube,10,4,1,0
817817230,Bacharelado,FATEC,SEM EXPERIÊNCIA,Eletroeletronicos,0,0,1,3,Minha empresa - benefício LITpass,116,41,34,1
238513274,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,SEM EXPERIÊNCIA,Montadora,0,0,1,8,Saint Paul,236,51,36,0
818005322,Bacharelado,UNICAMP,SEM EXPERIÊNCIA,Montadora,1,1,1,5,Google,36,26,17,0
675940830,SEM FORMAÇÃO,UFF,Analista Senior,Siderurgica,1,1,1,9,Facebook,27,19,5,0
649747051,Especialização,Escola Paulista de Direito,Outros,Estado,0,0,1,5,Minha empresa - benefício LITpass,49,48,48,2
643598372,Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,Gerente,Entretenimento,0,0,1,7,Linkedin,49,27,25,0
212592196,Licenciatura,FGV-RJ,Engenheiro,Estado,0,0,1,2,YouTube,9,9,7,0
207426331,Tecnólogo,FACULDADE ANHANGUERA,Diretor,Entretenimento,1,1,1,10,Linkedin,10,3,2,0
434966344,SEM FORMAÇÃO,UEPB,Engenheiro,servicos,1,1,1,3,Google,58,9,8,0
565992131,Bacharelado,Escola Paulista de Direito,Engenheiro,Borracha,0,0,1,4,Outros,100,27,24,0
542411524,Especialização,UFPE,Advogado,Oleo e Gas,1,1,1,10,Facebook,106,42,38,0
543666338,Bacharelado,UNICAMP,Outros,Siderurgica,1,1,1,8,Outros,454,153,84,1
581415868,Especialização,INSPER INSTITUTO DE ENSINO E PESQUISA,Sócio/Dono/Proprietário,Estado,0,0,1,6,Mídia (revista/jornal/web),11,3,2,0
144929901,Bacharelado,FGV-RJ,Supervisor,Borracha,1,1,1,3,Saint Paul,23,3,1,0
428759477,Especialização,UFRJ,Assessor,Oleo e Gas,1,1,1,3,Saint Paul,10,3,1,0
514823844,Licenciatura,FACULDADE ANHANGUERA,Outros,Entretenimento,1,1,1,4,Mídia (revista/jornal/web),116,14,11,0
788218840,SEM FORMAÇÃO,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Advogado,Borracha,0,0,1,6,Minha empresa - benefício LITpass,32,6,2,0
786216706,Especialização,FGV-RJ,Advogado,Estado,1,1,1,4,YouTube,75,56,53,0
259845508,Tecnólogo,UFPE,Engenheiro,Laminados,1,1,1,3,Instagram,64,46,42,0
949912484,Bacharelado,USP,Sócio/Dono/Proprietário,Laminados,0,0,1,4,YouTube,64,43,41,1
709187043,Licenciatura,UNIVERSIDADE NOVE DE JULHO,Analista,Eletroeletronicos,0,0,1,8,Outros,85,20,13,0
549213797,Bacharelado,UNIP,Sócio/Dono/Proprietário,Eletroeletronicos,0,0,1,5,Minha empresa - benefício LITpass,40,11,10,0
886103530,Bacharelado,UEPB,Coordenador,Entretenimento,0,0,1,7,Mídia (revista/jornal/web),40,3,1,0
334992339,Licenciatura,UEPB,Sócio/Dono/Proprietário,servicos,0,0,1,2,Minha empresa - benefício LITpass,26,6,5,0
281309958,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Gerente,Siderurgica,0,0,1,9,YouTube,56,22,16,0
584918097,Bacharelado,FACULDADE ANHANGUERA,Diretor,Entretenimento,1,1,1,3,Facebook,71,63,59,0
331866404,Bacharelado,UNIP,Coordenador,Montadora,0,0,1,6,Google,66,8,3,0
873280590,SEM FORMAÇÃO,UNICAMP,SEM EXPERIÊNCIA,Siderurgica,1,1,1,5,Saint Paul,37,37,37,0
732539585,Especialização,UFF,SEM EXPERIÊNCIA,Borracha,1,1,1,10,Mídia (revista/jornal/web),348,132,114,3
124987040,MBA,UNIVERSIDADE CRUZEIRO DO SUL,Gerente,Siderurgica,0,0,1,9,Instagram,61,27,23,0
703425095,MBA,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Diretor,Estado,1,1,1,2,Outros,10,2,1,0
918789957,MBA,UNICAMP,Assessor,Laminados,1,1,1,4,Google,61,60,53,2
180544191,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,Analista,Montadora,1,1,1,10,Outros,77,11,10,0
760981615,Bacharelado,UFPE,Gerente,Eletrodomesticos,0,0,1,6,Mídia (revista/jornal/web),33,7,5,0
465991037,Licenciatura,Unesp,Supervisor,Eletroeletronicos,1,1,1,3,Google,10,5,3,0
574078320,MBA,USP,Engenheiro,Eletrodomesticos,0,0,1,5,Minha empresa - benefício LITpass,29,8,7,0
392520519,MBA,FATEC,Diretor,Oleo e Gas,0,0,1,7,Instagram,27,13,9,0
193850344,Especialização,Unesp,Outros,servicos,1,1,1,8,Google,18,17,15,1
260377156,Especialização,FACULDADE ANHANGUERA,Gerente,e-commerce,1,1,1,6,YouTube,104,14,9,0
701350459,Bacharelado,UNIP,Sócio/Dono/Proprietário,Oleo e Gas,1,1,1,10,Linkedin,36,5,4,0
184984608,SEM FORMAÇÃO,UNIP,Coordenador,Entretenimento,1,1,1,6,Outros,45,17,13,0
946191629,Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,servicos,0,0,1,3,Outros,352,101,77,0
578140618,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,Montadora,1,1,1,3,YouTube,54,50,49,0
498794061,MBA,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,Entretenimento,1,1,1,9,Outros,67,18,15,0
428087014,SEM FORMAÇÃO,UNIVERSIDADE PRESBITERIANA MACKENZIE,Analista Senior,servicos,1,1,1,5,Mídia (revista/jornal/web),181,10,4,0
244935519,Bacharelado,UFSCar,Assessor,Eletroeletronicos,0,0,1,4,Saint Paul,31,7,6,0
385591186,Licenciatura,UFRN,Coordenador,Eletrodomesticos,1,1,1,5,Facebook,68,37,34,0
859852926,SEM FORMAÇÃO,UNIP,Diretor,Siderurgica,1,1,1,5,Outros,82,82,82,3
528168653,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Engenheiro,Montadora,0,0,1,9,Minha empresa - benefício LITpass,27,27,27,1
450740184,Licenciatura,UEPB,Coordenador,Siderurgica,0,0,1,4,Outros,79,52,49,1
684817168,Licenciatura,UFRJ,Diretor,Montadora,1,1,1,5,YouTube,36,5,3,0
660625347,Bacharelado,UNIP,Assessor,servicos,0,0,1,3,Google,18,5,4,0
890741849,MBA,UFPE,Advogado,Borracha,1,1,1,9,Saint Paul,10,5,3,0
715930052,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Assessor,Laminados,0,0,1,5,Mídia (revista/jornal/web),520,191,145,1
651638358,Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,Analista Senior,Oleo e Gas,0,0,1,7,Instagram,50,42,29,0
864004107,Bacharelado,UNICAMP,Analista Senior,Eletroeletronicos,1,1,1,7,Outros,28,28,28,0
511177087,Bacharelado,UNICAMP,Engenheiro,Borracha,1,1,1,7,Instagram,123,11,4,0
287889997,Tecnólogo,UFRJ,Supervisor,Oleo e Gas,1,1,1,7,Saint Paul,27,11,9,0
688051884,Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Siderurgica,0,0,1,3,YouTube,29,3,1,0
232994688,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Estado,0,0,1,2,Minha empresa - benefício LITpass,20,3,1,0
841539551,Especialização,UNIVERSIDADE PRESBITERIANA MACKENZIE,Outros,Entretenimento,0,0,1,5,Minha empresa - benefício LITpass,27,21,16,0
888803013,Tecnólogo,FATEC,Gerente,Montadora,0,0,1,6,Outros,23,4,1,0
186473353,Licenciatura,UNIVERSIDADE NOVE DE JULHO,Engenheiro,Siderurgica,1,1,1,6,Facebook,30,8,7,0
868142369,MBA,UFRJ,Coordenador,Eletrodomesticos,1,1,1,5,Minha empresa - benefício LITpass,27,5,2,0
124936670,MBA,UFSCar,Analista,Eletrodomesticos,0,0,1,8,Google,33,3,1,0
875177496,Especialização,UNICAMP,Diretor,Entretenimento,0,0,1,10,Saint Paul,10,9,6,0
448278857,Tecnólogo,FATEC,Diretor,Montadora,0,0,1,4,Outros,58,58,58,0
571876639,MBA,FATEC,Outros,e-commerce,1,1,1,5,Mídia (revista/jornal/web),27,4,3,0
515354793,SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,Diretor,Montadora,1,1,1,8,YouTube,60,7,3,0
700382367,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,servicos,0,0,1,9,Outros,33,10,9,0
620194695,Especialização,UFRN,Diretor,Eletrodomesticos,0,0,1,6,Saint Paul,33,3,1,0
492803428,SEM FORMAÇÃO,UFSCar,Outros,Laminados,0,0,1,3,Google,94,50,23,0
972713461,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,SEM EXPERIÊNCIA,Montadora,0,0,1,6,YouTube,10,2,1,0
923124784,MBA,UNIVERSIDADE PRESBITERIANA MACKENZIE,Diretor,Borracha,0,0,1,4,Mídia (revista/jornal/web),215,23,12,0
364132379,Tecnólogo,UFRJ,Diretor,Siderurgica,1,1,1,8,Mídia (revista/jornal/web),37,7,4,0
601210465,Tecnólogo,Universidade Metodista de Sao Paulo,Advogado,Eletroeletronicos,0,0,1,9,Facebook,89,89,89,0
108434125,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,SEM EXPERIÊNCIA,Oleo e Gas,1,1,1,5,Mídia (revista/jornal/web),10,3,1,0
616672844,SEM FORMAÇÃO,UFRN,Assessor,servicos,0,0,1,2,Minha empresa - benefício LITpass,36,3,2,0
154224935,Tecnólogo,FACULDADE ANHANGUERA,Diretor,Siderurgica,1,1,1,6,Facebook,122,44,40,1
582677495,Especialização,UFRN,Supervisor,Eletrodomesticos,0,0,1,2,Mídia (revista/jornal/web),29,29,28,0
387670340,Bacharelado,UEPB,Sócio/Dono/Proprietário,Estado,1,1,1,2,Linkedin,148,19,9,0
501707729,Bacharelado,FACULDADE ANHANGUERA,Analista,Siderurgica,0,0,1,8,Outros,24,5,3,0
929651438,SEM FORMAÇÃO,INSPER INSTITUTO DE ENSINO E PESQUISA,Advogado,e-commerce,0,0,1,9,Outros,29,23,19,0
942148348,MBA,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Supervisor,Laminados,0,0,1,7,Outros,22,6,4,0
353690648,SEM FORMAÇÃO,FACULDADE ANHANGUERA,Analista Senior,Laminados,0,0,1,5,Linkedin,62,14,7,0
780539710,Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,Gerente,Borracha,0,0,1,5,Mídia (revista/jornal/web),63,34,29,0
771913904,Tecnólogo,FGV-RJ,Coordenador,Laminados,0,0,1,6,Facebook,81,45,33,0
868850781,MBA,USP,Diretor,Borracha,0,0,1,8,YouTube,34,9,7,0
275481063,MBA,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Assessor,Eletrodomesticos,0,0,1,10,YouTube,27,26,25,0
267431588,Tecnólogo,Escola Paulista de Direito,Analista Senior,Oleo e Gas,0,0,1,4,Saint Paul,30,4,2,0
487834060,Bacharelado,UNICAMP,Assessor,Siderurgica,0,0,1,7,Google,130,77,74,0
498983297,Licenciatura,Unesp,Coordenador,Borracha,0,0,1,8,Linkedin,54,13,9,0
854609971,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Assessor,Laminados,0,0,1,4,Instagram,29,5,1,0
746805725,SEM FORMAÇÃO,UFRN,Diretor,Laminados,1,1,1,3,Outros,367,42,16,0
333376966,Licenciatura,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Coordenador,Eletrodomesticos,0,0,1,8,Mídia (revista/jornal/web),105,45,35,0
469962224,Tecnólogo,UFPE,Sócio/Dono/Proprietário,Estado,1,1,1,7,Facebook,23,3,2,0
940844239,SEM FORMAÇÃO,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Engenheiro,Eletroeletronicos,1,1,1,5,YouTube,10,10,9,0
726219031,Bacharelado,UFPE,Supervisor,Laminados,1,1,1,2,Linkedin,31,2,1,0
169468176,SEM FORMAÇÃO,UEPB,Gerente,Oleo e Gas,1,1,1,7,Saint Paul,33,11,8,0
501869743,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Assessor,Estado,1,1,1,2,YouTube,133,15,10,0
497581761,SEM FORMAÇÃO,UNIVERSIDADE PRESBITERIANA MACKENZIE,Coordenador,e-commerce,0,0,1,6,YouTube,31,2,1,0
563906051,Licenciatura,UEPB,Coordenador,Entretenimento,0,0,1,5,Mídia (revista/jornal/web),18,4,1,0
502099716,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Outros,Montadora,0,0,1,3,Outros,45,4,2,0
610414904,Especialização,Escola Paulista de Direito,Analista Senior,Eletroeletronicos,1,1,1,2,Mídia (revista/jornal/web),124,44,40,0
313611721,MBA,UFF,Coordenador,Laminados,1,1,1,9,Instagram,100,99,99,3
219664691,SEM FORMAÇÃO,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Analista,Montadora,0,0,1,4,Outros,30,3,1,0
543702088,Licenciatura,FATEC,Outros,Montadora,1,1,1,4,Saint Paul,71,7,3,0
627958442,MBA,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Supervisor,e-commerce,1,1,1,9,Linkedin,100,99,99,0
502621691,Especialização,FGV-RJ,Assessor,Montadora,0,0,1,2,Saint Paul,88,38,37,0
118021020,Especialização,UNICAMP,Coordenador,Laminados,1,1,1,2,YouTube,138,85,78,1
433000832,Tecnólogo,UEPB,Diretor,Montadora,1,1,1,8,Saint Paul,27,5,3,0
336488706,MBA,FACULDADE ANHANGUERA,Gerente,e-commerce,1,1,1,9,Instagram,10,6,3,0
653876987,Especialização,UFSCar,Sócio/Dono/Proprietário,Eletrodomesticos,1,1,1,3,Facebook,27,10,8,0
719749751,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Engenheiro,Eletroeletronicos,1,1,1,6,Outros,82,56,50,0
538282734,Licenciatura,UNIVERSIDADE PRESBITERIANA MACKENZIE,Advogado,Eletroeletronicos,0,0,1,4,Outros,11,3,1,0
907305835,Bacharelado,USP,Engenheiro,Siderurgica,0,0,1,9,Mídia (revista/jornal/web),82,82,82,3
515381102,Bacharelado,UFRJ,Analista Senior,e-commerce,0,0,1,6,Outros,31,31,31,0
759176404,Bacharelado,Unesp,Coordenador,Laminados,1,1,1,7,Google,100,37,26,0
624117349,Licenciatura,UNIP,Coordenador,Montadora,0,0,1,3,Outros,54,48,46,1
530918775,MBA,UNICAMP,Assessor,Eletrodomesticos,1,1,1,9,Outros,29,15,13,0
704879372,Tecnólogo,Escola Paulista de Direito,Supervisor,servicos,1,1,1,10,Outros,152,117,116,1
946869055,Tecnólogo,UFRJ,Analista,Entretenimento,0,0,1,10,Linkedin,18,13,11,0
616336477,Bacharelado,Universidade Metodista de Sao Paulo,Sócio/Dono/Proprietário,Laminados,0,0,1,5,Mídia (revista/jornal/web),30,4,2,0
482712969,Tecnólogo,FGV-RJ,Assessor,Eletroeletronicos,1,1,1,2,Saint Paul,29,29,29,1
526982588,SEM FORMAÇÃO,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,e-commerce,1,1,1,3,Saint Paul,40,11,7,0
936236055,Especialização,FGV-RJ,Coordenador,Eletrodomesticos,1,1,1,7,Linkedin,31,2,1,0
520602439,SEM FORMAÇÃO,FATEC,Analista,Entretenimento,0,0,1,2,Minha empresa - benefício LITpass,61,54,53,3
887194616,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Montadora,0,0,1,5,YouTube,100,97,97,2
907790580,SEM FORMAÇÃO,USP,SEM EXPERIÊNCIA,Estado,1,1,1,6,Google,10,4,2,0
538430545,Tecnólogo,UFPE,Advogado,Eletrodomesticos,1,1,1,5,Outros,158,99,91,0
400288454,SEM FORMAÇÃO,UEPB,Diretor,Eletroeletronicos,1,1,1,3,Facebook,55,28,20,0
477898071,Especialização,UFF,Coordenador,Siderurgica,1,1,1,4,Instagram,102,50,47,0
864711730,Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Gerente,Laminados,0,0,1,8,Mídia (revista/jornal/web),77,23,18,1
653798831,Licenciatura,UNIP,Assessor,Entretenimento,1,1,1,9,Minha empresa - benefício LITpass,45,15,9,0
933632385,Bacharelado,UFSCar,Sócio/Dono/Proprietário,Borracha,0,0,1,6,Minha empresa - benefício LITpass,128,72,69,0
377226804,MBA,UNIVERSIDADE PRESBITERIANA MACKENZIE,Assessor,servicos,1,1,1,2,Saint Paul,238,117,104,0
804405774,Tecnólogo,Universidade Metodista de Sao Paulo,Outros,Eletrodomesticos,1,1,1,5,Instagram,10,8,6,0
941017204,MBA,UEPB,Engenheiro,Laminados,0,0,1,5,Facebook,134,25,18,0
227556213,Licenciatura,UFPE,Sócio/Dono/Proprietário,Siderurgica,0,0,1,5,YouTube,164,87,84,1
107641863,Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,Estado,0,0,1,6,YouTube,10,2,1,0
258950148,MBA,FACULDADE ANHANGUERA,Supervisor,Eletroeletronicos,1,1,1,10,Instagram,10,4,1,0
246688738,Especialização,UNIVERSIDADE NOVE DE JULHO,Outros,Estado,1,1,1,9,Saint Paul,95,24,23,0
756916824,MBA,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Borracha,1,1,1,8,Saint Paul,114,36,26,0
966319186,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Engenheiro,Entretenimento,0,0,1,2,Mídia (revista/jornal/web),63,57,56,1
348316181,Licenciatura,UFF,Outros,Montadora,0,0,1,10,Saint Paul,100,99,99,3
803132432,Especialização,FGV-RJ,SEM EXPERIÊNCIA,Siderurgica,0,0,1,5,Outros,127,99,92,0
304733762,Especialização,USP,SEM EXPERIÊNCIA,servicos,0,0,1,8,Instagram,10,5,2,0
470924795,Licenciatura,UEPB,Analista Senior,Montadora,0,0,1,9,YouTube,286,209,193,0
618482358,Bacharelado,UFF,Analista Senior,Montadora,1,1,1,2,Linkedin,53,53,53,0
975729086,Especialização,UNICAMP,Analista,e-commerce,1,1,1,10,Outros,31,4,1,0
182647435,Licenciatura,USP,Analista,Borracha,0,0,1,6,Instagram,40,11,10,0
150098530,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Advogado,servicos,1,1,1,5,Minha empresa - benefício LITpass,20,2,1,0
287409910,SEM FORMAÇÃO,FACULDADE ANHANGUERA,Outros,Estado,0,0,1,4,Outros,49,35,35,1
689065265,Bacharelado,Universidade Metodista de Sao Paulo,Sócio/Dono/Proprietário,Estado,0,0,1,9,Outros,141,60,51,0
716897310,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Outros,Laminados,1,1,1,10,Mídia (revista/jornal/web),10,9,8,0
375760044,MBA,UFRJ,Analista,Eletrodomesticos,0,0,1,2,Linkedin,83,16,11,0
499119100,Especialização,UNIP,Sócio/Dono/Proprietário,Eletroeletronicos,0,0,1,2,YouTube,10,4,1,0
309220970,MBA,UNIVERSIDADE NOVE DE JULHO,Gerente,Eletroeletronicos,1,1,1,9,Outros,54,33,29,0
602394169,MBA,UFSCar,Gerente,Eletroeletronicos,1,1,1,8,Linkedin,33,9,7,0
459506801,Especialização,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Outros,Oleo e Gas,1,1,1,7,Outros,58,12,3,0
740770497,Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Sócio/Dono/Proprietário,Estado,1,1,1,10,Linkedin,10,5,4,0
