id,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,total_modulos,modulos_iniciados,modulos_finalizados,certificados,categoria
835551152.0,Especialização,UFSCar,Coordenador,Oleo e Gas,0.0,0.0,,,Minha empresa - benefício LITpass,59.0,6.0,3.0,0.0,perfil4
198068635.0,Tecnólogo,,,e-commerce,1.0,1.0,1.0,5.0,Instagram,293.0,68.0,53.0,0.0,perfil2
,SEM FORMAÇÃO,FACULDADE ANHANGUERA,SEM EXPERIÊNCIA,Oleo e Gas,1.0,1.0,1.0,7.0,,22.0,18.0,15.0,0.0,perfil3
539521582.0,Especialização,FATEC,Analista,Eletroeletronicos,1.0,,1.0,5.0,Outros,100.0,99.0,99.0,0.0,perfil2
469354391.0,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Oleo e Gas,0.0,0.0,1.0,2.0,Minha empresa - benefício LITpass,55.0,12.0,8.0,0.0,perfil5
977187554.0,SEM FORMAÇÃO,,Supervisor,Estado,1.0,1.0,1.0,9.0,Outros,76.0,18.0,15.0,0.0,perfil6
,Tecnólogo,UEPB,Outros,Montadora,0.0,0.0,1.0,6.0,,,10.0,10.0,0.0,perfil4
672232418.0,Tecnólogo,USP,Analista Senior,Montadora,0.0,,1.0,,,40.0,32.0,30.0,0.0,perfil2
590703683.0,,FACULDADE ANHANGUERA,Analista,Entretenimento,0.0,0.0,1.0,,Facebook,43.0,,4.0,0.0,perfil6
395783616.0,,UNIVERSIDADE NOVE DE JULHO,Analista,Estado,0.0,0.0,1.0,2.0,,10.0,7.0,5.0,0.0,perfil5
227660465.0,Tecnólogo,UNICAMP,Diretor,Eletroeletronicos,1.0,1.0,1.0,5.0,Minha empresa - benefício LITpass,,7.0,,0.0,perfil5
704453478.0,Especialização,UFRJ,Analista,Estado,1.0,1.0,1.0,5.0,Outros,40.0,2.0,1.0,0.0,perfil6
922553102.0,Licenciatura,UFSCar,SEM EXPERIÊNCIA,e-commerce,1.0,1.0,1.0,3.0,Facebook,10.0,10.0,9.0,0.0,perfil6
481793098.0,MBA,FGV-RJ,Diretor,e-commerce,0.0,0.0,1.0,2.0,Outros,29.0,3.0,1.0,,perfil6
,Bacharelado,UEPB,Supervisor,Borracha,0.0,0.0,1.0,10.0,Saint Paul,29.0,12.0,9.0,0.0,perfil1
156674247.0,SEM FORMAÇÃO,UNIVERSIDADE CRUZEIRO DO SUL,Diretor,Montadora,0.0,,1.0,2.0,Minha empresa - benefício LITpass,,,,0.0,perfil6
271110042.0,Licenciatura,UFRJ,Supervisor,Eletroeletronicos,1.0,1.0,1.0,9.0,,,33.0,31.0,,perfil2
521854580.0,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Advogado,,0.0,0.0,1.0,,Linkedin,20.0,9.0,3.0,,perfil6
,MBA,,Analista Senior,Entretenimento,1.0,,1.0,6.0,Google,56.0,,34.0,,perfil2
152855865.0,Especialização,INSPER INSTITUTO DE ENSINO E PESQUISA,Analista,Eletrodomesticos,1.0,1.0,,3.0,Outros,81.0,57.0,48.0,0.0,perfil2
449077928.0,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Supervisor,Oleo e Gas,,0.0,1.0,7.0,Outros,94.0,34.0,26.0,0.0,perfil2
141606633.0,Bacharelado,,Gerente,Estado,1.0,,,8.0,,27.0,20.0,12.0,0.0,perfil4
604417737.0,MBA,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Sócio/Dono/Proprietário,,1.0,,1.0,5.0,,71.0,37.0,35.0,0.0,perfil2
684531156.0,SEM FORMAÇÃO,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Coordenador,Borracha,0.0,0.0,1.0,2.0,Outros,10.0,2.0,1.0,0.0,perfil6
701408537.0,Bacharelado,UNICAMP,Diretor,Oleo e Gas,0.0,0.0,1.0,6.0,Instagram,10.0,10.0,10.0,0.0,perfil4
,Licenciatura,USP,Outros,Eletroeletronicos,0.0,0.0,1.0,6.0,Instagram,59.0,26.0,16.0,0.0,perfil3
366139669.0,SEM FORMAÇÃO,USP,Gerente,Montadora,1.0,1.0,1.0,7.0,Mídia (revista/jornal/web),10.0,6.0,2.0,0.0,perfil6
761526244.0,,,Supervisor,Eletroeletronicos,1.0,,1.0,3.0,Instagram,108.0,33.0,22.0,0.0,perfil2
254047888.0,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Engenheiro,Eletroeletronicos,0.0,0.0,1.0,,,21.0,17.0,16.0,,perfil3
354396049.0,MBA,INSPER INSTITUTO DE ENSINO E PESQUISA,Assessor,Borracha,1.0,1.0,1.0,5.0,Google,5.0,2.0,1.0,,perfil6
,Especialização,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Supervisor,Montadora,1.0,,1.0,,Linkedin,109.0,21.0,5.0,0.0,perfil5
943115521.0,MBA,UNICAMP,Assessor,Borracha,0.0,0.0,1.0,,Outros,10.0,5.0,1.0,,perfil6
893612584.0,SEM FORMAÇÃO,FGV-RJ,Advogado,,1.0,1.0,1.0,2.0,Linkedin,,58.0,57.0,0.0,perfil4
224778277.0,MBA,UNIP,Diretor,Montadora,0.0,0.0,1.0,8.0,Google,64.0,61.0,38.0,0.0,perfil2
529254697.0,SEM FORMAÇÃO,,Engenheiro,,0.0,0.0,,5.0,Google,27.0,4.0,3.0,0.0,perfil6
275035317.0,Licenciatura,UFSCar,Advogado,Estado,0.0,0.0,1.0,8.0,YouTube,31.0,2.0,1.0,0.0,perfil6
660166762.0,SEM FORMAÇÃO,FGV-RJ,SEM EXPERIÊNCIA,servicos,1.0,1.0,1.0,3.0,Facebook,25.0,24.0,24.0,0.0,perfil2
360075554.0,SEM FORMAÇÃO,UNICAMP,Gerente,Laminados,0.0,0.0,1.0,7.0,Outros,,7.0,5.0,0.0,perfil5
662053150.0,SEM FORMAÇÃO,FATEC,Analista Senior,Estado,1.0,1.0,1.0,5.0,YouTube,52.0,14.0,,,perfil4
,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Assessor,Montadora,0.0,0.0,1.0,7.0,Minha empresa - benefício LITpass,262.0,91.0,71.0,0.0,perfil2
418584330.0,,INSPER INSTITUTO DE ENSINO E PESQUISA,Diretor,Montadora,1.0,1.0,1.0,9.0,Google,10.0,5.0,3.0,0.0,perfil6
242471882.0,Licenciatura,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,,Laminados,0.0,0.0,1.0,2.0,,33.0,10.0,,0.0,perfil5
286194051.0,Tecnólogo,,Analista Senior,Laminados,,1.0,1.0,8.0,Google,168.0,74.0,57.0,0.0,perfil2
,Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,Analista Senior,Laminados,1.0,1.0,,,Instagram,27.0,9.0,8.0,0.0,perfil5
237058391.0,Especialização,Universidade Metodista de Sao Paulo,Advogado,,0.0,0.0,1.0,5.0,Instagram,30.0,3.0,2.0,,perfil6
995041344.0,Especialização,UNICAMP,SEM EXPERIÊNCIA,servicos,1.0,1.0,1.0,5.0,,27.0,2.0,1.0,0.0,perfil6
724861268.0,Tecnólogo,,Engenheiro,Estado,1.0,1.0,,9.0,Outros,,14.0,13.0,,perfil4
700061130.0,Especialização,,Sócio/Dono/Proprietário,Eletroeletronicos,0.0,0.0,,10.0,Linkedin,10.0,7.0,,0.0,perfil6
778227231.0,Especialização,UFF,,Borracha,0.0,,1.0,,Outros,33.0,7.0,3.0,0.0,perfil2
664402305.0,SEM FORMAÇÃO,UNIVERSIDADE CRUZEIRO DO SUL,Analista Senior,Siderurgica,0.0,0.0,1.0,,YouTube,29.0,4.0,2.0,0.0,perfil6
817433325.0,SEM FORMAÇÃO,Unesp,Outros,Borracha,1.0,1.0,1.0,,Google,10.0,3.0,2.0,0.0,perfil6
,Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,,Eletroeletronicos,1.0,1.0,1.0,7.0,Saint Paul,30.0,17.0,12.0,0.0,perfil4
588468654.0,Bacharelado,UFRJ,Supervisor,Eletrodomesticos,1.0,1.0,1.0,4.0,,,12.0,8.0,0.0,perfil5
878068523.0,MBA,UEPB,Outros,Entretenimento,,,1.0,7.0,Mídia (revista/jornal/web),60.0,15.0,11.0,0.0,perfil6
584188490.0,SEM FORMAÇÃO,UNIP,,Borracha,0.0,0.0,1.0,2.0,Google,29.0,,8.0,0.0,perfil5
364369316.0,SEM FORMAÇÃO,UNICAMP,Advogado,Oleo e Gas,1.0,1.0,1.0,9.0,Facebook,59.0,37.0,36.0,1.0,perfil5
,SEM FORMAÇÃO,UNIVERSIDADE CRUZEIRO DO SUL,SEM EXPERIÊNCIA,Siderurgica,,0.0,1.0,10.0,Outros,81.0,8.0,4.0,0.0,perfil6
388714429.0,Tecnólogo,UFSCar,,Entretenimento,0.0,0.0,1.0,,Saint Paul,33.0,2.0,1.0,0.0,perfil6
286034163.0,SEM FORMAÇÃO,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Analista Senior,Oleo e Gas,0.0,0.0,1.0,2.0,,10.0,2.0,1.0,0.0,perfil6
892113113.0,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Sócio/Dono/Proprietário,Entretenimento,1.0,1.0,1.0,9.0,,100.0,13.0,8.0,0.0,perfil5
381755179.0,SEM FORMAÇÃO,UFRN,Diretor,Laminados,0.0,0.0,1.0,6.0,Facebook,105.0,36.0,27.0,0.0,perfil2
593967200.0,MBA,Universidade Metodista de Sao Paulo,Outros,Eletrodomesticos,0.0,0.0,1.0,2.0,,,,1.0,1.0,perfil1
704456485.0,Bacharelado,UFRJ,Engenheiro,Montadora,1.0,1.0,1.0,,Google,27.0,4.0,1.0,0.0,perfil6
,SEM FORMAÇÃO,UNIVERSIDADE CRUZEIRO DO SUL,,Laminados,0.0,0.0,1.0,,,102.0,66.0,61.0,,perfil2
893244901.0,MBA,UFSCar,Advogado,Borracha,1.0,1.0,1.0,7.0,Instagram,29.0,13.0,,0.0,perfil4
990736993.0,,FGV-RJ,,Estado,1.0,1.0,1.0,7.0,Saint Paul,61.0,8.0,5.0,0.0,perfil5
673507257.0,Tecnólogo,,Diretor,Montadora,0.0,0.0,1.0,3.0,Outros,185.0,,35.0,0.0,perfil2
295424938.0,SEM FORMAÇÃO,,Diretor,,0.0,0.0,,6.0,Google,,3.0,1.0,,perfil6
201295713.0,,UFSCar,Sócio/Dono/Proprietário,Siderurgica,1.0,1.0,1.0,3.0,Linkedin,32.0,2.0,1.0,0.0,perfil6
602093337.0,Licenciatura,UEPB,Diretor,,,,1.0,,YouTube,27.0,4.0,1.0,0.0,perfil6
,Licenciatura,UFSCar,,e-commerce,,1.0,1.0,5.0,Linkedin,29.0,5.0,,0.0,perfil6
,Licenciatura,USP,Analista Senior,,,,,3.0,Instagram,25.0,5.0,3.0,0.0,perfil6
822420474.0,Tecnólogo,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Diretor,Eletrodomesticos,0.0,0.0,1.0,2.0,,27.0,3.0,1.0,0.0,perfil6
973018132.0,Especialização,UNIVERSIDADE NOVE DE JULHO,Assessor,Borracha,0.0,,1.0,9.0,Outros,137.0,36.0,10.0,0.0,perfil4
576889833.0,MBA,UEPB,Assessor,Entretenimento,0.0,0.0,1.0,10.0,Outros,40.0,3.0,1.0,0.0,perfil6
,Tecnólogo,UNICAMP,SEM EXPERIÊNCIA,e-commerce,0.0,0.0,1.0,10.0,YouTube,33.0,5.0,3.0,0.0,perfil6
262113710.0,Tecnólogo,USP,Diretor,servicos,1.0,1.0,,8.0,YouTube,47.0,20.0,18.0,0.0,perfil2
935661726.0,Licenciatura,FATEC,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,8.0,Facebook,27.0,1.0,1.0,0.0,perfil6
133129691.0,Especialização,UNIVERSIDADE PRESBITERIANA MACKENZIE,Supervisor,Eletroeletronicos,1.0,,1.0,2.0,Saint Paul,90.0,90.0,89.0,3.0,perfil1
705708136.0,Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Coordenador,Estado,1.0,1.0,1.0,8.0,Linkedin,27.0,4.0,1.0,0.0,perfil6
,Especialização,UEPB,Analista Senior,e-commerce,0.0,0.0,1.0,3.0,Outros,182.0,44.0,33.0,0.0,perfil2
304563811.0,Especialização,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Entretenimento,1.0,1.0,1.0,2.0,Instagram,10.0,5.0,3.0,0.0,perfil2
697888470.0,Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Analista Senior,Siderurgica,1.0,1.0,,6.0,Minha empresa - benefício LITpass,30.0,4.0,2.0,0.0,perfil6
921172391.0,Licenciatura,UFRN,Diretor,Montadora,0.0,0.0,1.0,3.0,Google,37.0,14.0,12.0,0.0,perfil4
576430582.0,Especialização,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Supervisor,e-commerce,1.0,1.0,1.0,9.0,,76.0,76.0,76.0,,perfil1
572105653.0,Especialização,UEPB,Diretor,Borracha,0.0,0.0,1.0,4.0,Minha empresa - benefício LITpass,10.0,10.0,8.0,0.0,perfil5
,Licenciatura,UFPE,Analista,e-commerce,,,,7.0,Minha empresa - benefício LITpass,65.0,31.0,28.0,,perfil1
,,Escola Paulista de Direito,,Eletroeletronicos,1.0,1.0,1.0,7.0,YouTube,2.0,2.0,2.0,0.0,perfil6
214669689.0,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Supervisor,Eletroeletronicos,0.0,,1.0,2.0,Linkedin,69.0,44.0,43.0,0.0,perfil2
678370417.0,Especialização,FATEC,Advogado,Eletrodomesticos,0.0,0.0,1.0,,YouTube,69.0,,39.0,0.0,perfil2
924549201.0,SEM FORMAÇÃO,FACULDADE ANHANGUERA,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,7.0,Saint Paul,221.0,179.0,168.0,4.0,perfil3
857486896.0,SEM FORMAÇÃO,,Advogado,e-commerce,1.0,1.0,1.0,4.0,Minha empresa - benefício LITpass,,10.0,7.0,,perfil5
743651917.0,Tecnólogo,FATEC,Analista,Laminados,1.0,1.0,1.0,,,36.0,25.0,,0.0,perfil2
883630116.0,Tecnólogo,UFRJ,,Estado,1.0,1.0,1.0,,,27.0,7.0,6.0,0.0,perfil5
767328486.0,Bacharelado,UFF,Engenheiro,Eletroeletronicos,0.0,0.0,1.0,10.0,,27.0,4.0,3.0,0.0,perfil6
380846534.0,SEM FORMAÇÃO,UFPE,Assessor,Eletroeletronicos,1.0,1.0,1.0,5.0,Saint Paul,27.0,,2.0,0.0,perfil6
438830242.0,Tecnólogo,Unesp,Analista,Eletroeletronicos,0.0,0.0,1.0,2.0,Mídia (revista/jornal/web),30.0,4.0,1.0,0.0,perfil6
,Bacharelado,UFPE,Assessor,,0.0,0.0,1.0,3.0,Outros,,,,0.0,perfil6
428765541.0,SEM FORMAÇÃO,FATEC,Analista,Borracha,0.0,0.0,1.0,,,61.0,61.0,61.0,2.0,perfil1
872222160.0,MBA,UFRN,Advogado,e-commerce,0.0,0.0,1.0,2.0,YouTube,80.0,16.0,11.0,,perfil5
756461967.0,Especialização,,Advogado,,0.0,0.0,1.0,6.0,Saint Paul,252.0,69.0,36.0,,perfil2
289696948.0,Tecnólogo,,Gerente,Borracha,0.0,0.0,1.0,8.0,Google,90.0,58.0,,0.0,perfil1
365193878.0,Tecnólogo,USP,Engenheiro,servicos,0.0,0.0,1.0,2.0,YouTube,,168.0,,6.0,perfil4
935075914.0,Especialização,FACULDADE ANHANGUERA,Diretor,Siderurgica,1.0,1.0,1.0,2.0,Linkedin,18.0,3.0,1.0,0.0,perfil6
,Especialização,UFSCar,Outros,Borracha,0.0,0.0,1.0,10.0,,65.0,36.0,34.0,1.0,perfil4
544387574.0,Bacharelado,Unesp,Assessor,Entretenimento,,1.0,1.0,5.0,,264.0,136.0,105.0,0.0,perfil2
223337817.0,,UNIVERSIDADE NOVE DE JULHO,Analista,Laminados,0.0,,1.0,9.0,Mídia (revista/jornal/web),53.0,9.0,4.0,0.0,perfil6
978662245.0,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Assessor,Eletroeletronicos,1.0,,1.0,3.0,Outros,286.0,135.0,106.0,0.0,perfil2
279435771.0,Especialização,UNICAMP,Gerente,e-commerce,0.0,0.0,1.0,3.0,Minha empresa - benefício LITpass,29.0,2.0,1.0,,perfil6
812856399.0,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Engenheiro,Montadora,0.0,0.0,1.0,8.0,Outros,38.0,18.0,14.0,,perfil4
,Bacharelado,UFSCar,Engenheiro,servicos,0.0,0.0,1.0,9.0,Outros,137.0,16.0,8.0,0.0,perfil5
978222780.0,,UFPE,Analista,Borracha,,,1.0,5.0,Outros,,15.0,11.0,0.0,perfil5
568807588.0,,UNIVERSIDADE NOVE DE JULHO,Engenheiro,e-commerce,1.0,1.0,1.0,9.0,Minha empresa - benefício LITpass,208.0,175.0,170.0,0.0,perfil2
415128752.0,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Gerente,Eletrodomesticos,1.0,1.0,1.0,3.0,Saint Paul,59.0,29.0,28.0,1.0,perfil1
811838152.0,Licenciatura,UNIP,SEM EXPERIÊNCIA,Montadora,1.0,1.0,1.0,4.0,Instagram,27.0,12.0,11.0,0.0,perfil4
645812448.0,Bacharelado,FGV-RJ,Gerente,Oleo e Gas,0.0,0.0,1.0,2.0,Google,36.0,18.0,13.0,0.0,perfil4
701177488.0,Tecnólogo,UFF,Diretor,Entretenimento,0.0,0.0,1.0,3.0,Google,27.0,7.0,,0.0,perfil5
257116787.0,Licenciatura,UFRN,Gerente,Montadora,0.0,0.0,1.0,4.0,YouTube,92.0,25.0,20.0,0.0,perfil6
827303060.0,MBA,UFRN,Gerente,Eletroeletronicos,1.0,1.0,1.0,9.0,Instagram,72.0,7.0,7.0,0.0,perfil5
653664630.0,Bacharelado,Unesp,Advogado,Borracha,,,1.0,8.0,Outros,10.0,7.0,6.0,0.0,perfil5
862022194.0,Licenciatura,UEPB,Supervisor,,1.0,1.0,1.0,9.0,Outros,,10.0,7.0,0.0,perfil5
857517256.0,Bacharelado,FACULDADE ANHANGUERA,Engenheiro,Eletrodomesticos,,,1.0,2.0,Mídia (revista/jornal/web),27.0,27.0,27.0,0.0,perfil2
447250201.0,Tecnólogo,Escola Paulista de Direito,Gerente,Oleo e Gas,1.0,1.0,,8.0,Google,77.0,43.0,40.0,1.0,perfil1
,Licenciatura,FGV-RJ,Diretor,servicos,0.0,0.0,1.0,,,37.0,4.0,,,perfil6
600325680.0,MBA,UFF,,Estado,0.0,0.0,1.0,8.0,Mídia (revista/jornal/web),27.0,21.0,15.0,0.0,perfil3
806723751.0,,Universidade Metodista de Sao Paulo,SEM EXPERIÊNCIA,Siderurgica,0.0,0.0,,6.0,,40.0,2.0,1.0,0.0,perfil6
,Tecnólogo,UFRJ,Diretor,,1.0,1.0,1.0,8.0,Minha empresa - benefício LITpass,167.0,96.0,77.0,0.0,perfil2
450615473.0,MBA,UFRJ,,Entretenimento,0.0,0.0,1.0,5.0,Linkedin,27.0,6.0,6.0,0.0,perfil5
377453978.0,Especialização,UNIVERSIDADE PRESBITERIANA MACKENZIE,Supervisor,Entretenimento,1.0,1.0,1.0,10.0,Mídia (revista/jornal/web),366.0,119.0,91.0,1.0,perfil1
542442460.0,SEM FORMAÇÃO,UFRJ,Outros,servicos,1.0,1.0,1.0,7.0,Outros,96.0,12.0,,0.0,perfil5
,,UFPE,SEM EXPERIÊNCIA,Borracha,0.0,,1.0,4.0,Google,25.0,12.0,12.0,0.0,perfil4
412534703.0,SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,Gerente,servicos,0.0,0.0,1.0,7.0,Instagram,91.0,18.0,9.0,,perfil4
360194815.0,,UNIP,Engenheiro,Eletroeletronicos,0.0,0.0,1.0,5.0,Outros,43.0,,17.0,0.0,perfil3
357737281.0,Especialização,,Engenheiro,Siderurgica,0.0,0.0,1.0,8.0,Minha empresa - benefício LITpass,82.0,42.0,34.0,0.0,perfil4
464325429.0,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,Outros,e-commerce,0.0,0.0,1.0,5.0,Saint Paul,214.0,142.0,135.0,2.0,perfil1
994895990.0,Tecnólogo,UEPB,Analista Senior,servicos,,1.0,1.0,7.0,Outros,43.0,10.0,,0.0,perfil6
777140930.0,,,Analista Senior,e-commerce,0.0,0.0,,9.0,Linkedin,100.0,99.0,99.0,2.0,perfil5
901758163.0,Tecnólogo,FACULDADE ANHANGUERA,,Estado,1.0,1.0,1.0,6.0,Linkedin,231.0,81.0,76.0,0.0,perfil2
